Country,Year,Death Rate,LDW,LSS,LHF,#LDW,#LSS,#LHF,VDEM
Senegal,2019,296.65,2.6,16.96,21.4,424132.0,2763156.0,3488111.0,0.85
Serbia,2019,14.78,4.62,0.0,,405197.0,0.0,,0.752
Seychelles,2019,107.53,0.0,0.0,,0.0,0.0,,0.797
Sierra Leone,2019,526.25,8.86,37.13,17.24,692022.0,2901300.0,1346892.0,0.804
Singapore,2019,52.88,0.0,0.0,,0.0,0.0,,0.711
Slovakia,2019,23.53,0.21,2.42,,11579.0,132178.0,,0.907
Slovenia,2019,14.2,0.0,0.88,,0.0,18275.0,,0.924
Solomon Islands,2019,334.61,5.81,5.79,33.48,38911.0,38750.0,224272.0,0.848
Somalia,2019,646.86,26.88,16.94,54.42,4150597.0,2615842.0,8404203.0,0.305
South Africa,2019,412.49,2.78,14.81,43.42,1627817.0,8669735.0,25427747.0,0.831
South Korea,2019,26.27,0.0,0.0,,0.0,0.0,,0.929
South Sudan,2019,480.66,37.5,8.69,,4147997.0,961749.0,,0.205
Spain,2019,14.39,0.0,0.08,,0.0,37684.0,,0.961
Sri Lanka,2019,40.31,0.6,3.97,,127131.0,847572.0,,0.828
Sudan,2019,90.78,26.68,8.35,,11421332.0,3575309.0,,0.384
Suriname,2019,65.72999999999999,1.03,6.42,16.83,5987.0,37335.0,97860.0,0.851
Sweden,2019,14.89,0.0,0.7,,0.0,70329.0,,0.969
Switzerland,2019,11.2,0.0,0.1,,0.0,8602.0,,0.96
Syria,2019,31.21,5.9,9.55,8.68,1006809.0,1630422.0,1481540.0,0.079
Tajikistan,2019,69.14999999999999,2.57,2.6,23.62,239824.0,241998.0,2201892.0,0.198
Tanzania,2019,333.62,11.35,18.4,34.95,6581103.0,10673748.0,20275488.0,0.63
Thailand,2019,74.13,0.04,1.54,9.15,24485.0,1071448.0,6370107.0,0.43
Timor,2019,175.35,1.85,9.37,64.46,23922.0,121221.0,833590.0,0.853
Togo,2019,429.06,6.09,26.68,8.98,492442.0,2156300.0,725650.0,0.598
Trinidad and Tobago,2019,35.75,1.12,5.94,,15691.0,82815.0,,0.903
Tunisia,2019,24.62,1.88,1.96,5.16,220357.0,229341.0,603786.0,0.796
Turkey,2019,23.95,2.02,0.44,,1688436.0,367103.0,,0.329
Turkmenistan,2019,42.05,0.21,0.75,0.0,12305.0,44704.0,0.0,0.183
Uganda,2019,372.0700000000001,27.89,17.33,32.32,12348753.0,7673841.0,14308766.0,0.418
Ukraine,2019,37.32,5.66,2.26,,2490777.0,993554.0,,0.711
United Arab Emirates,2019,69.24,0.0,0.77,,0.0,75213.0,,0.393
United Kingdom,2019,30.97,0.0,0.72,,0.0,485690.0,,0.915
United States,2019,18.82,0.0,0.0,,0.0,0.0,,0.921
Uruguay,2019,35.15,0.51,1.36,,17750.0,47180.0,,0.951
Uzbekistan,2019,54.95,0.0,0.0,,0.0,0.0,,0.395
Vanuatu,2019,158.88,1.06,15.51,,3189.0,46518.0,,0.868
Venezuela,2019,44.510000000000005,0.47,0.0,,134501.0,0.0,,0.337
Vietnam,2019,67.19,0.0,3.94,12.38,0.0,3803783.0,11940212.0,0.412
World,2019,105.63,3.58,7.42,21.3,,,,0.688575419
Yemen,2019,98.57,28.39,4.94,,8279221.0,1439938.0,,0.133
Zambia,2019,463.46,6.06,19.25,31.36,1081815.0,3438235.0,5601427.0,0.681
Zimbabwe,2019,551.65,13.86,29.54,54.64,2029876.0,4325774.0,8002455.0,0.391
